pilot_pattern,pilot_density,snr_db,trial,num_pilots,nmse_oracle_perfect,nmse_oracle_support_ls,nmse_estimated_support_ls,path_recall,path_precision,power_recovery,delay_rmse_bins,doppler_rmse_bins,penalized_delay_rmse_bins,penalized_doppler_rmse_bins,ospa_distance,num_estimated,num_missed,num_false_alarms,false_alarm_rate
random,0.125,0.0,40,112,0.0,0.04023440620498178,0.20485555880703787,0.75,0.75,0.9528225164485814,0.184225650007576,0.13730796712729912,0.4075283028091858,0.2768394993086673,0.5931378875698687,4.0,1.0,1.0,0.25
random,0.125,0.0,41,112,0.0,0.041001978756906594,0.17721188502161841,0.75,0.75,0.9707345242070788,0.0162974547305533,0.17473789560499844,0.3752655130344658,0.2922327824189947,0.5847684492078746,4.0,1.0,1.0,0.25
random,0.125,0.0,42,112,0.0,0.03588003432023215,0.12806107411372677,0.75,0.75,0.9432832342598698,0.1370585192801734,0.1177206021151583,0.39333672378822604,0.2699881573731829,0.5626909786286767,4.0,1.0,1.0,0.25
random,0.125,0.0,43,112,0.0,0.015177952621706946,0.13438440172599073,0.5,0.5,0.949343910655402,0.12961162661395867,0.22742058066957804,0.5381910319549724,0.3884070805946308,0.7863668608964842,4.0,2.0,2.0,0.5
random,0.125,0.0,44,112,0.0,0.04176110871263413,0.12881730524004742,0.75,0.75,0.9629304373039789,0.029488430303920878,0.14022896818073755,0.37586856165598886,0.2779354648794855,0.5569128422953528,4.0,1.0,1.0,0.25
random,0.125,0.0,45,112,0.0,0.04344679517193488,0.2780245612065628,0.75,0.75,0.8423672345455726,0.02882844853296405,0.08126208403724626,0.3758301605560859,0.2597164698792846,0.5204984964749206,4.0,1.0,1.0,0.25
random,0.125,0.0,46,112,0.0,0.02421283278246789,0.3591122558060775,0.5,0.5,0.8202020125148836,0.0740039424163106,0.05115323544604764,0.5329055185927223,0.3553988277249932,0.7142138203712783,4.0,2.0,2.0,0.5
random,0.125,0.0,47,112,0.0,0.016735900435072348,0.2813031241730693,0.25,0.25,0.8192248785817234,0.0026376306102813274,0.012780891213258982,0.6495203917305515,0.4330598547487995,0.8661214944928525,4.0,3.0,3.0,0.75
random,0.125,0.0,48,112,0.0,0.029213946650779265,0.24438184050744827,0.5,0.5,0.7667570038560295,0.08710701288547554,0.04516188611326221,0.5338949483249632,0.3549926731337615,0.6325188156815433,4.0,2.0,2.0,0.5
random,0.125,0.0,49,112,0.0,0.06089789460824559,0.2091693468377185,1.0,1.0,1.0,0.2859192855244449,0.1493540435269308,0.2859192855244449,0.1493540435269308,0.48431350002972073,4.0,0.0,0.0,0.0
random,0.125,0.0,50,112,0.0,0.032462898311150706,0.18742468760241435,0.75,0.75,0.9293153392345826,0.0740335419844571,0.07721030037841317,0.3804414856506494,0.25878769843907495,0.5245876907044175,4.0,1.0,1.0,0.25
random,0.125,0.0,51,112,0.0,0.030734511660667936,0.12157193698981889,0.75,0.75,0.9849552724865014,0.13675548604900634,0.06659628606547628,0.3932576092377298,0.2565663637117813,0.5368810668163023,4.0,1.0,1.0,0.25
random,0.125,0.0,52,112,0.0,0.03195343498940622,0.18957378111892395,0.5,0.5,0.5285701124060005,0.0742289725361703,0.08796780466884502,0.5329211669486283,0.3589835195787239,0.5268105855699879,4.0,2.0,2.0,0.5
random,0.125,0.0,53,112,0.0,0.05391420053522241,0.24957022393316136,0.5,0.5,0.8339439605743681,0.053509530689948535,0.14928564632485294,0.5316781309564361,0.36897574730504246,0.7396739397699046,4.0,2.0,2.0,0.5
random,0.125,0.0,54,112,0.0,0.052097140749396,0.1663566584463375,0.75,0.75,0.9224614813451355,0.09248407615762352,0.08520899110578607,0.3834579224074616,0.26066344032861505,0.5321523487556015,4.0,1.0,1.0,0.25
random,0.125,0.0,55,112,0.0,0.08919837776335143,0.15740962381336104,1.0,1.0,1.0,0.13911450512210735,0.07138534777215118,0.13911450512210735,0.07138534777215118,0.23406949873007496,4.0,0.0,0.0,0.0
